rung,powers,success_rate,n_tasks,model_id,seed,notes,avg_latency_s,avg_output_tokens,total_wall_s
0,P0,1.0000,8,openbmb/MiniCPM5-2B,0,example p0 smoke,,,
0,P0,0.375,8,openbmb/MiniCPM5-2B,0,Lightning T4 fp16 real baseline,1.432211,28.500,11.468325
1,"P0,P1",0.0000,8,openbmb/MiniCPM5-2B,0,Lightning T4 fp16 P1 few-shot,1.876493,24.625,15.011940
1,"P0,P1",0.2500,8,openbmb/MiniCPM5-2B,0,Lightning T4 fp16 P1 few-shot FIXED packing,,,
1,"P0,P1",1.0000,8,openbmb/MiniCPM5-2B,0,Lightning T4 fp16 P1 few-shot FIXED packing,,,
0,P0,0.0833,24,openbmb/MiniCPM5-2B,0,Lightning T4 MiniCPM5-2B mini v1,,,
1,"P0,P1",0.1667,24,openbmb/MiniCPM5-2B,0,Lightning T4 MiniCPM5-2B mini v1,,,
2,"P0,P1,P2",0.3333,24,openbmb/MiniCPM5-2B,0,Lightning T4 MiniCPM5-2B mini v1,,,
3,"P0,P1,P2,P3",0.4167,24,openbmb/MiniCPM5-2B,0,Lightning T4 fp16 cumulative P3 evaluation,,,
4,"P0,P1,P2,P3,P4",0.6250,24,openbmb/MiniCPM5-2B,0,Lightning T4 fp16 cumulative P4 evaluation,,,
5,"P0,P1,P2,P3,P4,P5",0.6250,24,openbmb/MiniCPM5-2B,0,Lightning T4 fp16 cumulative P5 evaluation,,,
6,"P0,P1,P2,P3,P4,P5,P6",0.7083,24,openbmb/MiniCPM5-2B,0,Lightning T4 fp16 cumulative P6 evaluation,,,
7,"P0,P1,P2,P3,P4,P5,P6,P7",0.7083,24,openbmb/MiniCPM5-2B,0,Lightning T4 fp16 cumulative P7 evaluation,,,
8,"P0,P1,P2,P3,P4,P5,P6,P7,P8",0.6250,24,openbmb/MiniCPM5-2B,0,Lightning T4 fp16 cumulative P8 evaluation,,,
6,"P0,P1,P2,P3,P4,P5,P6",0.7917,24,openbmb/MiniCPM5-2B,0,Lightning T4 fp16 cumulative P6 evaluation,,,
7,"P0,P1,P2,P3,P4,P5,P6,P7",0.7917,24,openbmb/MiniCPM5-2B,0,Lightning T4 fp16 cumulative P7 evaluation,,,
8,"P0,P1,P2,P3,P4,P5,P6,P7,P8",0.7083,24,openbmb/MiniCPM5-2B,0,Lightning T4 fp16 cumulative P8 evaluation,,,
8,"P0,P1,P2,P3,P4,P5,P6,P7,P8",0.7917,24,openbmb/MiniCPM5-2B,0,Lightning T4 fp16 cumulative P8 evaluation,,,
8,"P0,P1,P2,P3,P4,P5,P6,P7,P8",0.9167,24,openbmb/MiniCPM5-2B,0,Lightning T4 fp16 cumulative P8 evaluation,,,
8,"P0,P1,P2,P3,P4,P5,P6,P7,P8",0.9167,24,openbmb/MiniCPM5-2B,0,Lightning T4 fp16 cumulative P8 evaluation,,,
